SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980056S15059,1980-03-06 18:00:00,-22.6,55.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 21:00:00,-23.2,55.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 00:00:00,-23.7,55.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 03:00:00,-24.2,54.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 06:00:00,-24.6,54.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 09:00:00,-25.0,53.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 12:00:00,-25.4,53.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 15:00:00,-25.8,52.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 18:00:00,-26.3,51.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-07 21:00:00,-26.7,51.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 00:00:00,-27.0,50.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 03:00:00,-27.2,49.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 06:00:00,-27.3,49.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 09:00:00,-27.4,48.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 12:00:00,-27.5,48.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 15:00:00,-27.7,47.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 18:00:00,-27.8,47.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-08 21:00:00,-28.0,46.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 00:00:00,-28.2,46.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 03:00:00,-28.4,45.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 06:00:00,-28.6,45.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 09:00:00,-28.9,45.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 12:00:00,-29.0,44.9,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 15:00:00,-29.2,44.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 18:00:00,-29.3,44.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-09 21:00:00,-29.2,43.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 00:00:00,-29.1,43.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-10 03:00:00,-28.9,43.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
